,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,40,1,2,3,0,24,1,0,2,5,8,185,1,-1,0,3,no
59,46,7,1,0,0,179,1,0,2,5,8,1778,1,-1,0,3,no
60,32,0,1,2,0,0,1,0,2,5,8,138,1,-1,0,3,no
61,53,9,0,1,0,989,1,0,2,5,8,812,1,-1,0,3,no
62,57,1,1,0,0,249,1,0,2,5,8,164,1,-1,0,3,no
63,33,7,1,1,0,790,1,0,2,5,8,391,1,-1,0,3,no
64,49,1,1,3,0,154,1,0,2,5,8,357,1,-1,0,3,no
65,51,4,1,2,0,6530,1,0,2,5,8,91,1,-1,0,3,no
66,60,5,1,2,0,100,0,0,2,5,8,528,1,-1,0,3,no
67,59,4,0,2,0,59,1,0,2,5,8,273,1,-1,0,3,no
68,55,9,1,1,0,1205,1,0,2,5,8,158,2,-1,0,3,no
69,35,1,2,1,0,12223,1,1,2,5,8,177,1,-1,0,3,no
70,57,1,1,1,0,5935,1,1,2,5,8,258,1,-1,0,3,no
71,31,7,1,1,0,25,1,1,2,5,8,172,1,-1,0,3,no
72,54,4,1,1,0,282,1,1,2,5,8,154,1,-1,0,3,no
73,55,1,1,0,0,23,1,0,2,5,8,291,1,-1,0,3,no
74,43,9,1,1,0,1937,1,0,2,5,8,181,1,-1,0,3,no
75,53,9,1,1,0,384,1,0,2,5,8,176,1,-1,0,3,no
76,44,1,1,1,0,582,0,1,2,5,8,211,1,-1,0,3,no
77,55,7,0,1,0,91,0,0,2,5,8,349,1,-1,0,3,no
78,49,7,0,1,0,0,1,1,2,5,8,272,1,-1,0,3,no
79,55,7,0,1,1,1,1,0,2,5,8,208,1,-1,0,3,no
80,45,0,2,1,0,206,1,0,2,5,8,193,1,-1,0,3,no
81,47,7,0,1,0,164,0,0,2,5,8,212,1,-1,0,3,no
82,42,9,2,1,0,690,1,0,2,5,8,20,1,-1,0,3,no
83,59,0,1,1,0,2343,1,0,2,5,8,1042,1,-1,0,3,yes
84,46,6,1,2,0,137,1,1,2,5,8,246,1,-1,0,3,no
85,51,1,1,0,0,173,1,0,2,5,8,529,2,-1,0,3,no
86,56,0,1,1,0,45,0,0,2,5,8,1467,1,-1,0,3,yes
87,41,9,1,1,0,1270,1,0,2,5,8,1389,1,-1,0,3,yes
88,46,4,0,1,0,16,1,1,2,5,8,188,2,-1,0,3,no
89,57,5,1,1,0,486,1,0,2,5,8,180,2,-1,0,3,no
90,42,4,2,1,0,50,0,0,2,5,8,48,1,-1,0,3,no
91,30,9,1,1,0,152,1,1,2,5,8,213,2,-1,0,3,no
92,60,0,1,1,0,290,1,0,2,5,8,583,1,-1,0,3,no
93,60,1,1,3,0,54,1,0,2,5,8,221,1,-1,0,3,no
94,57,2,0,1,0,-37,0,0,2,5,8,173,1,-1,0,3,no
95,36,4,1,2,0,101,1,1,2,5,8,426,1,-1,0,3,no
96,55,1,1,1,0,383,0,0,2,5,8,287,1,-1,0,3,no
97,60,5,1,2,0,81,1,0,2,5,8,101,1,-1,0,3,no
98,39,9,1,1,0,0,1,0,2,5,8,203,1,-1,0,3,no
99,46,4,1,2,0,229,1,0,2,5,8,197,1,-1,0,3,no
100,44,1,1,1,0,-674,1,0,2,5,8,257,1,-1,0,3,no
101,53,1,1,0,0,90,0,0,2,5,8,124,1,-1,0,3,no
102,52,1,1,0,0,128,1,0,2,5,8,229,1,-1,0,3,no
103,59,1,1,0,0,179,1,0,2,5,8,55,3,-1,0,3,no
104,27,9,2,2,0,0,1,0,2,5,8,400,1,-1,0,3,no
105,44,1,1,1,0,54,1,0,2,5,8,197,1,-1,0,3,no
106,47,9,1,2,0,151,1,0,2,5,8,190,1,-1,0,3,no
107,34,0,1,1,0,61,0,1,2,5,8,21,1,-1,0,3,no
108,59,5,2,1,0,30,1,0,2,5,8,514,1,-1,0,3,no
109,45,4,1,2,0,523,1,0,2,5,8,849,2,-1,0,3,no
110,29,7,0,1,0,31,1,0,2,5,8,194,1,-1,0,3,no
111,46,9,0,1,0,79,0,0,2,5,8,144,1,-1,0,3,no
112,56,6,1,0,0,-34,1,1,2,5,8,212,2,-1,0,3,no
113,36,1,1,0,0,448,1,0,2,5,8,286,1,-1,0,3,no
114,59,5,0,0,0,81,1,0,2,5,8,107,1,-1,0,3,no
115,44,1,1,1,0,144,1,0,2,5,8,247,2,-1,0,3,no
116,41,0,1,1,0,351,1,0,2,5,8,518,1,-1,0,3,no
117,33,4,2,2,0,-67,1,0,2,5,8,364,1,-1,0,3,no
118,59,4,0,2,0,262,0,0,2,5,8,178,1,-1,0,3,no
119,57,9,1,0,0,0,0,0,2,5,8,98,1,-1,0,3,no
120,56,9,0,3,0,56,1,0,2,5,8,439,1,-1,0,3,no
121,51,1,1,1,0,26,1,0,2,5,8,79,1,-1,0,3,no
122,34,0,1,3,0,3,1,0,2,5,8,120,3,-1,0,3,no
123,43,7,1,1,0,41,1,1,2,5,8,127,2,-1,0,3,no
124,52,9,1,2,0,7,0,1,2,5,8,175,1,-1,0,3,no
125,33,9,2,1,0,105,1,0,2,5,8,262,2,-1,0,3,no
126,29,0,2,1,0,818,1,1,2,5,8,61,1,-1,0,3,no
127,34,7,1,1,0,-16,1,1,2,5,8,78,1,-1,0,3,no
128,31,1,1,1,0,0,1,0,2,5,8,143,1,-1,0,3,no
129,55,7,1,1,0,2476,1,0,2,5,8,579,1,-1,0,3,yes
130,55,4,1,3,0,1185,0,0,2,5,8,677,1,-1,0,3,no
131,32,0,2,1,0,217,1,0,2,5,8,345,1,-1,0,3,no
132,38,9,2,1,0,1685,1,0,2,5,8,185,1,-1,0,3,no
133,55,0,2,1,0,802,1,1,2,5,8,100,2,-1,0,3,no
134,28,10,2,2,0,0,1,0,2,5,8,125,2,-1,0,3,no
135,23,1,1,1,0,94,1,0,2,5,8,193,1,-1,0,3,no
136,32,9,2,1,0,0,1,0,2,5,8,136,1,-1,0,3,no
137,43,7,2,3,0,0,0,0,2,5,8,73,1,-1,0,3,no
138,32,1,1,1,0,517,1,0,2,5,8,528,1,-1,0,3,no
139,46,1,1,1,0,265,1,0,2,5,8,541,1,-1,0,3,no
140,53,3,0,0,0,947,1,0,2,5,8,163,1,-1,0,3,no
141,34,6,2,1,0,3,1,0,2,5,8,301,1,-1,0,3,no
142,57,10,1,2,0,42,0,0,2,5,8,46,1,-1,0,3,no
143,37,1,1,1,0,37,1,0,2,5,8,204,1,-1,0,3,no
144,59,1,1,1,0,57,1,0,2,5,8,98,1,-1,0,3,no
145,33,7,1,1,0,22,1,0,2,5,8,71,1,-1,0,3,no
146,56,1,0,0,0,8,1,0,2,5,8,157,2,-1,0,3,no
147,48,10,1,1,0,293,1,0,2,5,8,243,1,-1,0,3,no
148,43,7,1,0,0,3,1,0,2,5,8,186,2,-1,0,3,no
149,54,1,1,0,0,348,1,0,2,5,8,579,2,-1,0,3,no
150,51,1,1,3,0,-19,1,0,2,5,8,163,2,-1,0,3,no
151,26,8,2,1,0,0,1,0,2,5,8,610,2,-1,0,3,no
152,40,4,1,2,0,-4,1,0,2,5,8,2033,1,-1,0,3,no
153,39,4,1,1,0,18,1,0,2,5,8,85,1,-1,0,3,no
154,50,9,1,0,0,139,0,0,2,5,8,114,2,-1,0,3,no
155,41,7,1,1,0,0,1,0,2,5,8,114,2,-1,0,3,no
156,51,1,1,3,0,1883,1,0,2,5,8,57,1,-1,0,3,no
157,60,5,0,1,0,216,1,0,2,5,8,238,1,-1,0,3,no
158,52,1,1,1,0,782,1,0,2,5,8,93,3,-1,0,3,no
159,48,1,1,1,0,904,1,0,2,5,8,128,2,-1,0,3,no
160,48,7,1,3,0,1705,1,0,2,5,8,107,1,-1,0,3,no
161,39,9,2,2,0,47,1,0,2,5,8,181,1,-1,0,3,no
162,47,7,2,1,0,176,1,0,2,5,8,303,2,-1,0,3,no
163,40,1,1,1,0,1225,1,0,2,5,8,558,5,-1,0,3,no
164,45,9,1,1,0,86,1,0,2,5,8,270,1,-1,0,3,no
165,26,0,2,1,0,82,1,0,2,5,8,228,1,-1,0,3,no
166,52,4,1,2,0,271,1,0,2,5,8,99,1,-1,0,3,no
167,54,9,1,1,0,1378,1,0,2,5,8,240,1,-1,0,3,no
168,54,0,1,2,0,184,0,0,2,5,8,673,2,-1,0,3,yes
169,50,1,1,0,0,0,0,0,2,5,8,233,3,-1,0,3,no
170,35,1,1,1,0,0,1,0,2,5,8,1056,1,-1,0,3,no
171,44,7,1,1,0,1357,1,1,2,5,8,250,1,-1,0,3,no
172,53,2,1,3,0,19,1,0,2,5,8,252,1,-1,0,3,no
173,35,5,2,0,0,434,0,0,2,5,8,138,1,-1,0,3,no
174,60,0,0,1,0,92,1,0,2,5,8,130,1,-1,0,3,no
175,53,0,0,1,0,1151,1,0,2,5,8,412,1,-1,0,3,no
176,48,10,1,1,0,41,1,0,2,5,8,179,2,-1,0,3,no
177,34,9,1,1,0,51,1,0,2,5,8,19,2,-1,0,3,no
178,54,7,1,1,0,214,1,0,2,5,8,458,2,-1,0,3,no
179,51,4,1,1,0,1161,1,0,2,5,8,717,1,-1,0,3,no
180,31,7,1,2,0,37,1,0,2,5,8,313,1,-1,0,3,no
181,35,9,0,1,0,787,1,0,2,5,8,683,2,-1,0,3,no
182,35,7,1,1,0,59,1,0,2,5,8,1077,1,-1,0,3,no
183,38,9,1,1,0,253,1,0,2,5,8,416,1,-1,0,3,no
184,36,0,1,2,0,211,1,0,2,5,8,146,2,-1,0,3,no
185,58,5,1,0,0,235,1,0,2,5,8,167,1,-1,0,3,no
186,40,7,0,3,0,4384,1,0,2,5,8,315,1,-1,0,3,no
187,54,4,1,1,0,4080,0,0,2,5,8,140,1,-1,0,3,no
188,34,1,2,1,0,53,1,1,2,5,8,346,1,-1,0,3,no
189,31,4,2,2,0,0,1,0,2,5,8,562,1,-1,0,3,no
190,51,5,1,1,0,2127,1,0,2,5,8,172,1,-1,0,3,no
191,33,4,1,2,0,377,1,0,2,5,8,217,1,-1,0,3,no
192,55,4,1,2,0,73,1,0,2,5,8,142,2,-1,0,3,no
193,42,0,1,1,0,445,1,0,2,5,8,67,1,-1,0,3,no
194,34,1,1,1,0,243,1,0,2,5,8,291,1,-1,0,3,no
195,33,1,2,1,0,307,1,0,2,5,8,309,2,-1,0,3,no
196,38,7,1,1,0,155,1,0,2,5,8,248,1,-1,0,3,no
197,50,9,0,2,0,173,0,1,2,5,8,98,1,-1,0,3,no
198,43,4,1,2,0,400,1,0,2,5,8,256,1,-1,0,3,no
199,61,1,0,0,0,1428,1,0,2,5,8,82,2,-1,0,3,no
200,47,0,1,1,0,219,1,0,2,5,8,577,1,-1,0,3,no
201,48,6,1,2,0,7,1,0,2,5,8,286,1,-1,0,3,no
202,44,1,1,1,0,575,1,0,2,5,8,477,1,-1,0,3,no
203,35,8,2,3,0,298,1,0,2,5,8,611,2,-1,0,3,no
204,35,7,1,1,0,0,1,0,2,5,8,471,1,-1,0,3,no
205,50,7,1,1,0,5699,1,0,2,5,8,381,2,-1,0,3,no
206,41,4,1,2,0,176,1,1,2,5,8,42,1,-1,0,3,no
207,41,4,1,2,0,517,1,0,2,5,8,251,1,-1,0,3,no
208,39,7,2,3,0,257,1,0,2,5,8,408,1,-1,0,3,no
209,42,5,1,1,0,56,1,0,2,5,8,215,1,-1,0,3,no
210,38,1,1,1,0,-390,1,0,2,5,8,287,1,-1,0,3,no
211,53,5,1,1,0,330,1,0,2,5,8,216,2,-1,0,3,no
212,59,3,0,0,0,195,0,0,2,5,8,366,2,-1,0,3,no
213,36,7,1,1,0,301,1,0,2,5,8,210,1,-1,0,3,no
214,54,1,1,0,0,-41,1,0,2,5,8,288,1,-1,0,3,no
215,40,9,1,2,0,483,1,0,2,5,8,168,1,-1,0,3,no
216,47,11,1,3,0,28,0,0,2,5,8,338,2,-1,0,3,no
217,53,10,1,3,0,13,0,0,2,5,8,410,3,-1,0,3,no
218,46,3,1,0,0,965,0,0,2,5,8,177,1,-1,0,3,no
219,39,4,1,2,0,378,1,1,2,5,8,127,2,-1,0,3,no
220,40,10,1,1,0,219,1,0,2,5,8,357,1,-1,0,3,no
221,28,1,1,0,0,324,1,0,2,5,8,175,1,-1,0,3,no
222,35,2,0,1,0,-69,1,0,2,5,8,300,1,-1,0,3,no
223,55,5,1,1,0,0,0,1,2,5,8,136,1,-1,0,3,no
224,43,9,0,3,0,205,1,0,2,5,8,1419,1,-1,0,3,no
225,48,1,1,0,0,278,1,0,2,5,8,125,2,-1,0,3,no
226,58,4,1,3,0,1065,1,0,2,5,8,213,3,-1,0,3,no
227,33,4,2,2,0,34,1,0,2,5,8,27,1,-1,0,3,no
228,36,1,1,3,0,1033,0,0,2,5,8,238,2,-1,0,3,no
229,53,7,0,1,0,1467,1,0,2,5,8,124,1,-1,0,3,no
230,47,1,1,0,0,-12,1,0,2,5,8,18,1,-1,0,3,no
231,31,7,1,1,0,388,1,0,2,5,8,730,2,-1,0,3,no
232,57,2,1,1,0,294,1,0,2,5,8,746,2,-1,0,3,no
233,53,1,1,3,0,1827,0,0,2,5,8,121,1,-1,0,3,no
234,55,1,1,0,0,627,1,0,2,5,8,247,1,-1,0,3,no
235,45,1,1,0,0,25,1,0,2,5,8,40,1,-1,0,3,no
236,53,0,0,1,0,315,1,0,2,5,8,181,2,-1,0,3,no
237,37,1,1,0,0,0,1,0,2,5,8,79,1,-1,0,3,no
238,44,0,0,1,0,66,1,0,2,5,8,206,1,-1,0,3,no
239,49,1,0,0,0,-9,1,1,2,5,8,389,1,-1,0,3,no
240,46,9,1,1,0,349,1,1,2,5,8,127,1,-1,0,3,no
241,43,2,1,3,0,100,1,0,2,5,8,702,1,-1,0,3,no
242,38,0,1,1,0,0,0,0,2,5,8,151,1,-1,0,3,no
243,43,9,1,1,0,434,1,0,2,5,8,117,1,-1,0,3,no
244,49,4,1,2,0,3237,1,0,2,5,8,232,3,-1,0,3,no
245,42,4,1,3,0,275,0,0,2,5,8,408,2,-1,0,3,no
246,22,1,2,1,0,0,1,0,2,5,8,179,2,-1,0,3,no
247,40,4,1,2,0,207,1,0,2,5,8,39,1,-1,0,3,no
248,39,1,1,1,0,483,1,0,2,5,8,282,1,-1,0,3,no
249,51,7,1,1,0,2248,1,0,2,5,8,714,2,-1,0,3,no
250,49,0,1,1,0,428,1,0,2,5,8,50,1,-1,0,3,no
251,53,1,1,1,0,0,1,1,2,5,8,181,1,-1,0,3,no
252,34,7,2,1,0,0,1,0,2,5,8,142,1,-1,0,3,no
253,33,9,0,1,0,140,1,0,2,5,8,227,1,-1,0,3,no
254,50,4,2,2,0,297,1,0,2,5,8,119,1,-1,0,3,no
255,39,1,1,0,0,279,1,0,2,5,8,361,1,-1,0,3,no
256,59,2,0,1,0,901,1,0,2,5,8,73,3,-1,0,3,no
257,30,9,2,1,0,2573,1,0,2,5,8,67,2,-1,0,3,no
258,36,7,1,1,0,143,1,1,2,5,8,350,1,-1,0,3,no
259,40,1,1,1,0,475,1,0,2,5,8,332,2,-1,0,3,no
260,53,1,1,1,0,70,1,0,2,5,8,611,2,-1,0,3,no
261,34,4,2,2,0,318,1,0,2,5,8,113,2,-1,0,3,no
262,37,9,1,1,0,275,1,0,2,5,8,132,1,-1,0,3,no
263,42,4,0,2,0,742,1,0,2,5,8,58,3,-1,0,3,no
264,41,2,1,0,0,236,1,0,2,5,8,151,1,-1,0,3,no
265,30,8,2,2,0,25,1,0,2,5,8,89,2,-1,0,3,no
266,37,4,2,2,0,600,1,0,2,5,8,152,1,-1,0,3,no
267,39,0,0,1,0,-349,1,0,2,5,8,611,2,-1,0,3,no
268,41,1,1,0,0,183,1,1,2,5,8,110,2,-1,0,3,no
269,40,1,1,0,0,0,1,0,2,5,8,463,1,-1,0,3,no
270,42,4,2,2,0,0,1,1,2,5,8,562,2,-1,0,3,yes
271,40,1,0,0,0,0,1,0,2,5,8,962,1,-1,0,3,no
272,57,9,1,1,0,1078,1,0,2,5,8,10,4,-1,0,3,no
273,56,2,0,1,0,155,0,0,2,5,8,118,3,-1,0,3,no
274,37,0,1,1,0,190,1,0,2,5,8,92,2,-1,0,3,no
275,59,5,1,1,0,319,1,0,2,5,8,143,3,-1,0,3,no
276,39,7,0,1,0,-185,1,0,2,5,8,189,3,-1,0,3,no
277,49,7,1,1,0,47,0,0,2,5,8,234,2,-1,0,3,no
278,38,7,2,1,0,570,1,0,2,5,8,75,2,-1,0,3,no
279,36,6,1,2,0,19,0,0,2,5,8,189,2,-1,0,3,no
280,50,1,1,0,0,61,1,0,2,5,8,621,3,-1,0,3,no
281,41,0,1,1,0,-62,1,1,2,5,8,55,2,-1,0,3,no
282,54,9,1,2,0,258,0,0,2,5,8,310,4,-1,0,3,no
283,58,1,1,0,0,76,1,0,2,5,8,156,2,-1,0,3,no
284,30,1,2,1,0,0,1,0,2,5,8,5,2,-1,0,3,no
285,33,0,2,1,0,352,1,0,2,5,8,225,2,-1,0,3,no
286,47,0,1,1,0,368,1,0,2,5,8,125,2,-1,0,3,no
287,50,9,2,2,0,339,1,0,2,5,8,2,3,-1,0,3,no
288,32,1,1,1,0,1331,1,0,2,5,8,286,2,-1,0,3,no
289,40,6,1,1,0,672,1,0,2,5,8,164,2,-1,0,3,no
290,37,4,1,2,0,58,1,0,2,5,8,98,2,-1,0,3,no
291,54,9,2,3,0,447,1,0,2,5,8,742,2,-1,0,3,no
292,24,8,2,1,0,423,1,0,2,5,8,226,3,-1,0,3,no
293,54,4,1,2,0,0,0,0,2,5,8,120,2,-1,0,3,no
294,34,9,1,1,0,19,1,0,2,5,8,362,4,-1,0,3,no
295,56,9,0,0,0,13,1,0,2,5,8,357,2,-1,0,3,no
296,31,1,2,1,0,3,1,0,2,5,8,200,2,-1,0,3,no
297,24,8,2,1,0,82,1,0,2,5,8,204,2,-1,0,3,no
298,42,1,0,0,0,28,1,0,2,5,8,126,3,-1,0,3,no
299,57,9,1,1,0,792,1,0,2,5,8,65,2,-1,0,3,no
300,42,1,1,3,0,408,1,0,2,5,8,107,2,-1,0,3,no
301,51,0,1,1,0,531,1,0,2,5,8,267,2,-1,0,3,no
302,57,5,1,1,0,211,1,0,2,5,8,248,2,-1,0,3,no
303,36,7,2,1,0,62,1,0,2,5,8,215,2,-1,0,3,no
304,53,7,1,3,0,257,1,0,2,5,8,209,2,-1,0,3,no
305,50,9,1,1,0,1234,1,0,2,5,8,205,2,-1,0,3,no
306,54,4,1,2,0,313,1,0,2,5,8,83,2,-1,0,3,no
307,55,1,1,1,0,89,1,0,2,5,8,106,3,-1,0,3,no
308,44,1,1,1,0,129,1,1,2,5,8,189,2,-1,0,3,no
309,43,4,1,3,0,0,1,0,2,5,8,105,2,-1,0,3,no
310,56,0,1,1,0,353,1,0,2,5,8,106,2,-1,0,3,no
311,54,9,1,3,0,851,1,0,2,5,8,108,2,-1,0,3,no
312,55,7,0,0,0,96,1,1,2,5,8,311,2,-1,0,3,no
313,37,7,0,1,0,398,1,1,2,5,8,214,2,-1,0,3,no
314,33,0,2,2,0,193,0,0,2,5,8,132,2,-1,0,3,no
315,46,0,1,1,0,-358,1,0,2,5,8,358,2,-1,0,3,no
316,36,1,1,1,0,539,1,1,2,5,8,453,2,-1,0,3,no
317,51,9,2,1,0,0,1,0,2,5,8,364,2,-1,0,3,no
318,40,5,2,0,0,0,0,0,2,5,8,136,2,-1,0,3,no
319,42,1,1,1,0,490,1,0,2,5,8,386,2,-1,0,3,no
320,51,1,1,1,0,0,1,0,2,5,8,173,2,-1,0,3,no
321,49,1,1,3,0,403,1,0,2,5,8,241,2,-1,0,3,no
322,48,4,1,1,0,161,1,0,2,5,8,224,3,-1,0,3,no
323,32,9,0,2,0,2558,0,0,2,5,8,148,2,-1,0,3,no
324,31,0,2,1,0,98,1,0,2,5,8,196,2,-1,0,3,no
325,55,4,2,2,0,115,0,0,2,5,8,111,4,-1,0,3,no
326,40,1,2,1,0,436,1,0,2,5,8,231,3,-1,0,3,no
327,47,9,1,2,0,831,1,0,2,5,8,316,3,-1,0,3,no
328,57,9,1,3,0,206,1,0,2,5,8,216,3,-1,0,3,no
329,41,1,1,1,0,290,1,0,2,5,8,240,2,-1,0,3,no
330,48,1,1,1,0,1,0,0,2,5,8,669,3,-1,0,3,no
331,42,1,1,3,0,57,1,0,2,5,8,425,2,-1,0,3,no
332,30,1,2,1,0,-457,1,0,2,5,8,143,2,-1,0,3,no
333,58,4,2,2,0,1387,1,0,2,5,8,174,5,-1,0,3,no
334,45,4,0,2,0,24598,1,0,2,5,8,313,3,-1,0,3,no
335,49,1,1,1,0,30,1,0,2,5,8,135,4,-1,0,3,no
336,42,0,2,1,0,1022,1,0,2,5,8,146,2,-1,0,3,no
337,53,9,1,1,0,56,1,1,2,5,8,152,2,-1,0,3,no
338,51,0,2,1,1,-2,0,0,2,5,8,402,3,-1,0,3,no
339,32,7,2,1,0,121,1,0,2,5,8,213,2,-1,0,3,no
340,41,1,2,1,0,842,1,0,2,5,8,144,3,-1,0,3,no
341,43,4,0,1,0,693,1,0,2,5,8,124,3,-1,0,3,no
342,40,1,0,1,0,-333,1,0,2,5,8,183,2,-1,0,3,no
343,50,1,1,0,0,1533,1,0,2,5,8,325,2,-1,0,3,no
344,34,4,1,2,0,46,1,0,2,5,8,39,4,-1,0,3,no
345,53,7,1,3,0,18,0,0,2,5,8,503,2,-1,0,3,no
346,45,9,1,1,0,44,1,0,2,5,8,95,4,-1,0,3,no
347,39,1,1,0,0,-100,1,0,2,5,8,680,2,-1,0,3,no
348,44,7,1,2,0,510,1,0,2,5,8,421,4,-1,0,3,no
349,55,4,1,2,0,685,1,0,2,5,8,174,3,-1,0,3,no
350,46,4,2,2,0,187,1,0,2,5,8,113,2,-1,0,3,no
351,45,1,1,1,0,66,1,0,2,5,8,808,2,-1,0,3,no
352,34,0,1,1,0,560,1,0,2,5,8,198,3,-1,0,3,no
353,36,1,1,1,0,0,1,0,2,5,8,195,2,-1,0,3,no
354,59,11,0,3,0,27,0,0,2,5,8,347,3,-1,0,3,no
355,31,0,2,1,0,12,1,0,2,5,8,208,2,-1,0,3,no
356,44,1,2,1,0,34,1,0,2,5,8,404,4,-1,0,3,no
357,33,2,2,2,0,1068,1,0,2,5,8,396,2,-1,0,3,no
358,40,1,1,1,0,211,1,0,2,5,8,216,4,-1,0,3,no
359,46,0,2,2,0,377,1,0,2,5,8,98,2,-1,0,3,no
360,48,4,1,2,0,263,1,0,2,5,8,350,2,-1,0,3,no
361,42,7,1,1,0,1263,1,0,2,6,8,114,2,-1,0,3,no
362,27,7,1,1,0,8,1,0,2,6,8,88,3,-1,0,3,no
363,48,0,1,1,0,126,1,1,2,6,8,379,2,-1,0,3,no
364,59,0,1,1,0,230,1,0,2,6,8,190,3,-1,0,3,no
365,46,9,1,2,0,841,1,0,2,6,8,158,1,-1,0,3,no
366,38,0,0,1,0,308,1,0,2,6,8,102,1,-1,0,3,no
367,43,4,0,2,0,1,1,0,2,6,8,306,1,-1,0,3,no
368,38,0,0,2,0,86,1,0,2,6,8,218,1,-1,0,3,no
369,23,8,2,1,0,157,1,0,2,6,8,54,1,-1,0,3,no
370,34,7,1,1,0,22,1,0,2,6,8,344,1,-1,0,3,no
371,38,0,1,1,0,46,1,1,2,6,8,195,1,-1,0,3,no
372,37,1,1,1,0,1293,0,0,2,6,8,652,1,-1,0,3,no
